"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Convert DTO to BLM - Positive","","2025-09-19","passed","2025-09-19","","Buffer Converter Tests","com.connection.processing.buffer.converter.BufferConverterTest","testToBLMFromDTO_Positive"
"","1","BaseBufferJsonDataException toString format","","2025-09-19","passed","2025-09-19","","Buffer Json Data Exception Tests","com.connection.processing.buffer.objects.json.exception.BufferJsonDataExceptionTest","testBaseBufferJsonDataExceptionToString"
"","1","Validate BufferDTO with zero max messages - Negative","","2025-09-19","passed","2025-09-19","","Buffer Validator Tests","com.connection.processing.buffer.validator.BufferValidatorTest","testValidateBufferDTOWithZeroMaxMessages_Negative"
"","1","Validate BufferJsonDataDTO with null timestamp - Negative","","2025-09-19","passed","2025-09-19","","Buffer Json Data Validator Tests","com.connection.processing.buffer.objects.json.validator.BufferJsonDataValidatorTest","testValidateBufferJsonDataDTOWithNullTimestamp_Negative"
"","0","Validate valid BufferDeviceDTO - Positive","","2025-09-19","passed","2025-09-19","","BufferDevice Validator Tests","com.connection.processing.buffer.bufferdevice.validator.BufferDeviceValidatorTest","testValidateBufferDeviceDTO_Positive"
"","0","BufferAlreadyExistsException toString format","","2025-09-19","passed","2025-09-19","","Buffer Exception Tests","com.connection.processing.buffer.exception.BufferExceptionTest","testBufferAlreadyExistsExceptionToString"
"","1","Validate valid BufferJsonDataBLM - Positive","","2025-09-19","passed","2025-09-19","","Buffer Json Data Validator Tests","com.connection.processing.buffer.objects.json.validator.BufferJsonDataValidatorTest","testValidateBufferJsonDataBLM_Positive"
"","1","Validate BufferJsonDataDTO with empty data - Negative","","2025-09-19","passed","2025-09-19","","Buffer Json Data Validator Tests","com.connection.processing.buffer.objects.json.validator.BufferJsonDataValidatorTest","testValidateBufferJsonDataDTOWithEmptyData_Negative"
"","1","Round-trip conversion DALM -> BLM -> DALM","","2025-09-19","passed","2025-09-19","","BufferDevice Converter Tests","com.connection.processing.buffer.bufferdevice.converter.BufferDeviceConverterTest","testRoundTripDALMToBLMToDALM"
"","1","Validate valid BufferDeviceDALM - Positive","","2025-09-19","passed","2025-09-19","","BufferDevice Validator Tests","com.connection.processing.buffer.bufferdevice.validator.BufferDeviceValidatorTest","testValidateBufferDeviceDALM_Positive"
"","2","Delete non-existent buffer - Negative","","2025-09-19","passed","2025-09-19","","Buffer Repository Tests - SQL implementation tests","com.connection.processing.buffer.repository.BufferRepositorySQLImplTest","testDeleteNonExistentBuffer_Negative"
"","0","BufferDeviceAlreadyExistsException toString format","","2025-09-19","passed","2025-09-19","","BufferDevice Exception Tests","com.connection.processing.buffer.bufferdevice.exception.BufferDeviceExceptionTest","testBufferDeviceAlreadyExistsExceptionToString"
"","0","BufferJsonDataAlreadyExistsException toString format","","2025-09-19","passed","2025-09-19","","Buffer Json Data Exception Tests","com.connection.processing.buffer.objects.json.exception.BufferJsonDataExceptionTest","testBufferJsonDataAlreadyExistsExceptionToString"
"","2","Find newest N data by buffer UID - Positive","","2025-09-19","passed","2025-09-19","","Buffer Json Data Repository Tests - SQL implementation tests","com.connection.processing.buffer.objects.json.repository.BufferJsonDataRepositorySQLImplTest","testFindNewestByBufferUidWithLimit_Positive"
